39-26-37-981000-001-01 1MAHINDI          111 1 11                          3241  3242                                 2      
87-35-70-531002-001-01 1MAHINDI          111 1 11 41                       3601  3602                                 1 36000
87-35-70-531002-001-01 2ALIZETI          411 3 41                           202   752                                 1 12000
87-35-70-531002-001-01 3MAHINDI          111 2 11                          1201  2402                                 1 24000
87-35-70-531002-001-01 4PUMBA            112 9 11                          1201  2402                                 2      
90-92-88-291003-001-01 1MAHINDI          111 1 11                          9001  9202                                 1 10800
90-92-88-291003-001-01 2ALIZETI          411 3 41                            72   802                                 2      
16-34-22-801005-001-01 1MAHINDI          111 1 11                          2641  2402                                 1 28800
91-42-46-841009-001-01 1MAHINDI          111 1 11                          6481  6482                                 1 54000
49-38-79-421025-001-02 1MAHINDI          111 1 11                          1081  1082                                 1  3000
68-51-31-951058-001-01 1MPUNGA           121 2 12                          2451  3502                                 1 22000
68-51-31-951058-001-01 2MPUNGA           12211 12                          1051  3502                                 2      
71-14-80-871059-001-01 1MAHINDI          111 1 11                         14401 14402                                 1 72000
71-14-80-871059-001-01 2MTAMA            131 1 13                          6001  6002                                 1 30000
79-06-68-491059-001-03 1MAHINDI          111 1 11                          8401  8402                                 1 42000
79-06-68-491059-001-03 2MTAMA            131 1 13                          2401  2402                                 1 12000
71-40-42-061059-001-06 1MAHINDI          111 1 11                          3501  3602                                 1  9000
71-40-42-061059-001-06 2MTAMA            131 1 13                          1201  1202                                 1  6000
71-40-42-061059-001-06 3ALIZETI          411 3 41                           402   702                                 1  6000
71-40-42-061059-001-06 4ALIZETI          41210 41                           301   702                                 2      
71-40-42-061059-001-06 5MAHINDI          112 9 11                           101  3602                                 2      
50-50-37-471061-001-03 1MAHINDI          111 1 11                          5401  5402                                 1 24000
50-50-37-471061-001-03 2MTAMA            131 1 13                           781   782                                 1  3500
21-11-75-861063-001-01 1MAHINDI          111 1 11                         28721 28722                                 1160000
21-11-75-861063-001-01 2ALIZETI          411 3 41                           402  1402                                 2      
21-11-75-861063-001-01 3ALIZETI          41210 41                          1001  1402                                 2      
63-59-38-211064-001-01 1MAHINDI          111 1 11                           901   902                                 1  9000
63-59-38-211064-001-01 2MTAMA            131 1 13                          3001  3002                                 1 30000
