39-26-37-981000-001-01 111  2212599
39-26-37-981000-001-01 311  12125 1
39-26-37-981000-001-01 512 312121 5
39-26-37-981000-001-01 712 32212599
04-06-65-041000-001-02 111  1212199
97-90-78-651000-001-03 111  12223 3
97-90-78-651000-001-03 211  2222   
97-90-78-651000-001-03 412 22222   
97-90-78-651000-001-03 62          
97-90-78-651000-001-03 72          
97-90-78-651000-001-03 811  2222   
69-87-77-121000-001-06 112 212121 6
69-87-77-121000-001-06 211  12121 5
69-87-77-121000-001-06 42          
48-07-72-071001-001-01 111  2222   
48-07-72-071001-001-01 211  22126 6
48-07-72-071001-001-01 312 222125 5
48-07-72-071001-001-01 4           
48-07-72-071001-001-01 511  2222   
48-07-72-071001-001-01 611  2222   
48-07-72-071001-001-01 711  2222   
48-07-72-071001-001-01 82          
87-35-70-531002-001-01 111  2212699
87-35-70-531002-001-01 211  2212599
87-35-70-531002-001-01 311  2212599
90-92-88-291003-001-01 111  12126 1
90-92-88-291003-001-01 212 12212599
90-92-88-291003-001-01 311  12125 1
16-34-22-801005-001-01 111  2212699
16-34-22-801005-001-01 211  21123 6
16-34-22-801005-001-01 312 12212599
16-34-22-801005-001-01 412 221125 4
16-34-22-801005-001-01 512 22122599
16-34-22-801005-001-01 62          
66-03-93-271006-001-01 111  2212699
66-03-93-271006-001-01 211  12126 8
66-03-93-271006-001-01 612 122129 5
66-03-93-271006-001-01 712 12212999
71-71-16-361006-001-03 111  1222199
71-71-16-361006-001-03 211  2122399
71-71-16-361006-001-03 32          
93-03-21-311006-001-04 111  21123 6
93-03-21-311006-001-04 211  2212599
93-03-21-311006-001-04 312 22222   
93-03-21-311006-001-04 42          
64-95-83-641006-001-05 111  12121 5
64-95-83-641006-001-05 211  2212599
64-95-83-641006-001-05 32          
54-26-09-511007-001-01 111  12226 1
54-26-09-511007-001-01 211  2212599
54-26-09-511007-001-01 312 22222   
54-26-09-511007-001-01 42          
54-26-09-511007-001-01 52          
91-42-46-841009-001-01 111  2212699
91-42-46-841009-001-01 211  2212599
91-42-46-841009-001-01 312 22212599
91-42-46-841009-001-01 412 22222   
34-08-29-971019-001-01 111  2222   
34-08-29-971019-001-01 211  2222   
34-08-29-971019-001-01 32          
25-94-08-501020-001-01 111  1122399
25-94-08-501020-001-01 212 11222399
25-94-08-501020-001-01 312 12222   
42-43-09-211021-001-01 111  21123 2
88-63-59-871022-001-01 112 21222199
88-63-59-871022-001-01 211  1222199
88-63-59-871022-001-01 311  2222   
88-63-59-871022-001-01 412 22222   
88-63-59-871022-001-01 52          
88-63-59-871022-001-01 62          
67-34-56-151023-001-01 111  12223 3
67-34-56-151023-001-01 211  2222   
67-34-56-151023-001-01 312 22222   
67-34-56-151023-001-01 42          
61-09-84-511024-001-01 111  2122399
61-09-84-511024-001-01 211  2122399
61-09-84-511024-001-01 32          
49-38-79-421025-001-02 211  12126 1
36-53-30-051038-001-02 211  1222199
36-53-30-051038-001-02 312 22222   
36-53-30-051038-001-02 412 22222   
36-53-30-051038-001-02 512 22222   
06-31-99-331039-001-01 111  1222899
06-31-99-331039-001-01 211  1222199
06-31-99-331039-001-01 312 12222   
06-31-99-331039-001-01 412 12222   
06-31-99-331039-001-01 512 12222   
98-68-74-001041-001-01 111  2222   
86-53-32-921042-001-01 111  12126 1
86-53-32-921042-001-01 311  2222   
86-53-32-921042-001-01 42          
59-59-99-491042-001-02 111  2122299
68-38-43-941043-001-01 111  2222   
68-38-43-941043-001-01 211  2222   
68-38-43-941043-001-01 312 22222   
68-38-43-941043-001-01 412 22222   
68-38-43-941043-001-01 512 22222   
68-38-43-941043-001-01 612 22222   
68-38-43-941043-001-011012 22222   
68-38-43-941043-001-01112          
51-52-11-491044-001-01 111  12121 6
51-52-11-491044-001-01 412 12222   
51-52-11-491044-001-01 512 12222   
36-76-76-331045-001-01 111  1222199
36-76-76-331045-001-01 211  1222199
68-51-31-951058-001-01 112 221126 3
68-51-31-951058-001-01 211  2212699
68-51-31-951058-001-01 312 22212599
68-51-31-951058-001-01 412 22222   
68-51-31-951058-001-01 52          
68-51-31-951058-001-01 62          
68-51-31-951058-001-01 72          
71-14-80-871059-001-01 111  2212699
71-14-80-871059-001-01 211  22125 4
71-14-80-871059-001-01 611  2212499
71-14-80-871059-001-01 711  2222   
71-14-80-871059-001-01 912 12222   
71-14-80-871059-001-011612 122125 4
71-14-80-871059-001-011712 12222   
71-14-80-871059-001-01182          
71-14-80-871059-001-01192          
71-14-80-871059-001-012011  2212499
71-14-80-871059-001-012111  22125 4
71-14-80-871059-001-012212 12212599
71-14-80-871059-001-012312 72222   
71-14-80-871059-001-012412 12222   
71-14-80-871059-001-01252          
79-06-68-491059-001-03 111  2212699
79-06-68-491059-001-03 212 12212499
79-06-68-491059-001-03 312 12212599
79-06-68-491059-001-03 411  2212599
79-06-68-491059-001-03 512 12212599
79-06-68-491059-001-03 62          
79-06-68-491059-001-03 72          
79-06-68-491059-001-03 812 12212599
79-06-68-491059-001-03 912 12222   
79-06-68-491059-001-03102          
79-06-68-491059-001-03112          
79-06-68-491059-001-03122          
79-06-68-491059-001-03132          
71-40-42-061059-001-06 111  2212699
71-40-42-061059-001-06 211  2212699
71-40-42-061059-001-06 311  2212599
71-40-42-061059-001-06 412 12222   
71-40-42-061059-001-06 511  2212699
71-40-42-061059-001-06 612 12212699
71-40-42-061059-001-06 712 12222   
71-40-42-061059-001-06 812 12212999
71-40-42-061059-001-06 912 12222   
71-40-42-061059-001-061012 12222   
71-40-42-061059-001-061112 12222   
71-40-42-061059-001-06122          
71-40-42-061059-001-06132          
27-54-41-371060-001-01 112 222126 6
27-54-41-371060-001-01 211  2222   
27-54-41-371060-001-01 511  21225 5
50-50-37-471061-001-03 111  2212699
50-50-37-471061-001-03 211  2212599
50-50-37-471061-001-03 32          
50-50-37-471061-001-03 42          
50-50-37-471061-001-03 511  2212599
50-50-37-471061-001-03 612 52212599
50-50-37-471061-001-03 712 52212599
50-50-37-471061-001-03 812 52222   
25-09-89-031062-001-01 112 22212699
25-09-89-031062-001-01 211  2212599
25-09-89-031062-001-01 312 22212599
25-09-89-031062-001-01 412 22212599
25-09-89-031062-001-01 512 22212599
25-09-89-031062-001-01 612 22212599
25-09-89-031062-001-01 712 22222   
25-09-89-031062-001-01 82          
21-11-75-861063-001-01 111  2212699
21-11-75-861063-001-01 211  2212699
21-11-75-861063-001-01 311  2212599
21-11-75-861063-001-01 412 12212599
21-11-75-861063-001-01 512 12212599
21-11-75-861063-001-01 612 12212599
21-11-75-861063-001-01 712 12212599
21-11-75-861063-001-01 811  2212599
21-11-75-861063-001-01 92          
21-11-75-861063-001-011012 82212599
21-11-75-861063-001-011112 82222   
21-11-75-861063-001-011212 82222   
21-11-75-861063-001-011312 12212599
63-59-38-211064-001-01 111  12126 1
63-59-38-211064-001-01 312 12222   
63-59-38-211064-001-01 42          
51-70-28-891076-001-01 111  11126 1
51-70-28-891076-001-01 211  11125 1
51-70-28-891076-001-01 312 12222   
51-70-28-891076-001-01 412 12222   
45-88-08-271077-001-01 111  2212699
45-88-08-271077-001-01 311  2212599
45-88-08-271077-001-01 412 62212599
45-88-08-271077-001-01 512 62212599
45-88-08-271077-001-01 611  21125 3
45-88-08-271077-001-01 72          
83-42-33-561078-001-01 112 22212699
83-42-33-561078-001-01 211  21125 3
83-42-33-561078-001-01 311  2212599
83-42-33-561078-001-01 411  2212599
83-42-33-561078-001-01 512 22212599
83-42-33-561078-001-01 612 22222   
83-42-33-561078-001-01 72          
51-38-42-661079-001-01 111  2212699
51-38-42-661079-001-01 211  21126 3
51-38-42-661079-001-01 311  21125 3
51-38-42-661079-001-01 412 12222   
51-38-42-661079-001-01 512 22222   
51-38-42-661079-001-01 611  2212599
51-38-42-661079-001-01 712 12222   
70-13-86-621080-001-01 112 22222   
70-13-86-621080-001-01 211  11123 6
70-13-86-621080-001-01 312 22222   
70-13-86-621080-001-01 412 22222   
70-13-86-621080-001-01 512 22222   
70-13-86-621080-001-01 62          
70-13-86-621080-001-01 72          
15-64-51-681081-001-01 112 221122 6
15-64-51-681081-001-01 211  2122399
15-64-51-681081-001-01 312 22222   
15-64-51-681081-001-01 412 22222   
15-64-51-681081-001-01 52          
40-74-76-771082-001-01 111  2222   
40-74-76-771082-001-01 211  2212599
40-74-76-771082-001-01 411  2212599
71-92-06-801083-001-01 111  21123 6
71-92-06-801083-001-01 211  1211699
71-92-06-801083-001-01 411  2212599
71-92-06-801083-001-01 52          
91-21-42-141095-001-01 111  2212699
91-21-42-141095-001-01 212 12222   
91-21-42-141095-001-01 312 12212499
91-21-42-141095-001-01 412 12222   
91-21-42-141095-001-01 512 12222   
91-21-42-141095-001-01 62          
33-55-42-431096-001-01 112 22122399
33-55-42-431096-001-01 211  2122399
33-55-42-431096-001-01 512 22222   
33-55-42-431096-001-01 612 22212499
33-55-42-431096-001-01 712 22222   
33-55-42-431096-001-01 82          
33-55-42-431096-001-01 92          
38-42-24-051096-001-03 111  2212399
38-42-24-051096-001-03 211  2212499
38-42-24-051096-001-03 32          
13-90-80-111097-001-01 111  22124 4
13-90-80-111097-001-01 311  2212499
13-90-80-111097-001-01 512 322124 4
