39-26-37-981000-001-01 121             2    1
39-26-37-981000-001-01 3111  52.9167.512    1
39-26-37-981000-001-01 521             2    1
39-26-37-981000-001-01 7221  24.8126.112    1
04-06-65-041000-001-02 121             2    1
97-90-78-651000-001-03 121             2    1
97-90-78-651000-001-03 2111  88.5169.312    1
97-90-78-651000-001-03 41121           2    1
97-90-78-651000-001-03 6221   8.9 74.62113.51
97-90-78-651000-001-03 7221   8.5 73.12113.11
97-90-78-651000-001-03 8221  22.9116.212    1
69-87-77-121000-001-06 121             2    1
69-87-77-121000-001-06 2111  45.6159.512    1
69-87-77-121000-001-06 42221           1    1
48-07-72-071001-001-01 121             2    1
48-07-72-071001-001-01 21121           2    1
48-07-72-071001-001-01 321             2    1
48-07-72-071001-001-01 411             2    1
48-07-72-071001-001-01 521             2    1
48-07-72-071001-001-01 6221  24.1133.412    1
48-07-72-071001-001-01 7221  24.1133.412    1
48-07-72-071001-001-01 8221  12.9 92.51114.51
87-35-70-531002-001-01 121             2    1
87-35-70-531002-001-01 221             2    1
87-35-70-531002-001-01 3111  52.2158.812    1
90-92-88-291003-001-01 121             2    1
90-92-88-291003-001-01 2111  46.3152.712    1
90-92-88-291003-001-01 321             2    1
16-34-22-801005-001-01 121             2    1
16-34-22-801005-001-01 2111  55.4165.812    1
16-34-22-801005-001-01 32221           2    1
16-34-22-801005-001-01 42221           2    1
16-34-22-801005-001-01 5221    22124.112    1
16-34-22-801005-001-01 6221  16.6101.81114.51
66-03-93-271006-001-01 121             2    1
66-03-93-271006-001-01 221             2    1
66-03-93-271006-001-01 621             2    1
66-03-93-271006-001-01 7221  42.8156.512    1
71-71-16-361006-001-03 121             2    1
71-71-16-361006-001-03 2111  73.5154.112    1
71-71-16-361006-001-03 32223           1    1
93-03-21-311006-001-04 121             2    1
93-03-21-311006-001-04 2111  61.7163.512    1
93-03-21-311006-001-04 3221    20109.712    1
93-03-21-311006-001-04 4221  10.1 72.711  151
64-95-83-641006-001-05 121             2    1
64-95-83-641006-001-05 2111  73.9168.612    1
64-95-83-641006-001-05 3221  12.2 84.51115.81
54-26-09-511007-001-01 121             2    1
54-26-09-511007-001-01 2111  68.1165.612    1
54-26-09-511007-001-01 3221  20.8122.112    1
54-26-09-511007-001-01 4221    17  10811  171
54-26-09-511007-001-01 5221  11.6 82.91116.61
91-42-46-841009-001-01 121             2    1
91-42-46-841009-001-01 2111  64.1154.312    1
91-42-46-841009-001-01 3221  29.8136.712    1
91-42-46-841009-001-01 4221  17.7113.912    1
34-08-29-971019-001-01 1111  61.3  15912    1
34-08-29-971019-001-01 2111  50.9154.912    1
34-08-29-971019-001-01 3221    15 96.71117.81
25-94-08-501020-001-01 121             2    1
25-94-08-501020-001-01 21121           2    1
25-94-08-501020-001-01 32221           2    1
42-43-09-211021-001-01 121             2    1
88-63-59-871022-001-01 121             2    1
88-63-59-871022-001-01 2111  68.8159.712    1
88-63-59-871022-001-01 3221    47162.712    1
88-63-59-871022-001-01 4221  27.4138.212    1
88-63-59-871022-001-01 5221    18107.811  161
88-63-59-871022-001-01 6221   7.5   682113.51
67-34-56-151023-001-01 121             2    1
67-34-56-151023-001-01 2111  76.9167.812    1
67-34-56-151023-001-01 3221  20.2117.312    1
67-34-56-151023-001-01 4221    16103.11116.51
61-09-84-511024-001-01 121             2    1
61-09-84-511024-001-01 2111    42162.412    1
61-09-84-511024-001-01 3221  10.7 82.71115.81
