interview__key,hh_a06,y5_hhid,y5_cluster,y5_crossweight,y5_panelweight,y5_rural,clusterid,strataid,domain,loc_info,hh_a01_1,hh_a02_1,hh_a03_1,hh_a03_2,hh_a03_3a,hh_a03_3b,hh_a04_1,hh_a04_2,hh_a05,current_loc_desc,t0_location,y4_hhid,hh_a10,tracking_class,t0_head,t0_headphone,hh_tracking_status,int_month_code,int_month_code2,int_month_year,hh_a18,Int_End,TotInt_Mins,lowest_b06,hh_b1b14,j1_selection,wqt_selection,int_result
39-26-37-98,1000,1000-001-01,02-02-033-04-004,2248.762061,2164.920159,1,20203304004,4,3,1,2,22,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,**CONFIDENTIAL**,1000-001,1,1,**CONFIDENTIAL**,**CONFIDENTIAL**,1,9,9,10,2021-09-15T10:31:02,2021-09-21T18:58:54,9147,1,2,1,1,1
04-06-65-04,1000,1000-001-02,02-02-033-04-004,1587.050165,1563.731487,1,20203304004,4,3,1,2,22,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,**CONFIDENTIAL**,1000-001,2,4,**CONFIDENTIAL**,,,9,9,10,2021-09-15T13:43:15,2021-09-16T13:57:11,1453,,,1,2,1
97-90-78-65,1000,1000-001-03,02-02-033-04-004,3572.405771,3306.411185,1,20203304004,4,3,1,2,22,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,**CONFIDENTIAL**,1000-001,2,4,**CONFIDENTIAL**,,,9,9,10,2021-09-15T11:36:38,2021-09-15T15:01:18,204,,,1,2,1
69-87-77-12,1000,1000-001-06,02-02-033-04-004,3550.494114,3636.932901,1,20203304004,4,3,1,2,22,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,**CONFIDENTIAL**,1000-001,2,4,**CONFIDENTIAL**,,,9,9,10,2021-09-16T10:40:10,2021-09-23T09:17:32,9997,,1,1,2,1
48-07-72-07,1001,1001-001-01,02-02-033-04-004,5103.593973,4487.153963,1,20203304004,4,3,1,2,22,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,**CONFIDENTIAL**,1001-001,1,1,**CONFIDENTIAL**,**CONFIDENTIAL**,1,9,9,10,2021-09-14T09:55:10,2021-09-14T16:11:34,376,1,1,1,1,1
87-35-70-53,1002,1002-001-01,02-02-033-04-004,4537.493641,3696.536182,1,20203304004,4,3,1,2,22,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,**CONFIDENTIAL**,1002-001,1,1,**CONFIDENTIAL**,**CONFIDENTIAL**,1,9,9,10,2021-09-14T10:03:10,2021-09-14T15:43:52,340,1,2,1,1,1
90-92-88-29,1003,1003-001-01,02-02-033-04-004,5918.307439,5104.869101,1,20203304004,4,3,1,2,22,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,**CONFIDENTIAL**,1003-001,1,1,**CONFIDENTIAL**,**CONFIDENTIAL**,1,9,9,10,2021-09-14T10:02:18,2021-09-14T13:43:04,220,1,2,1,1,1
16-34-22-80,1005,1005-001-01,02-02-033-04-004,3400.992744,3240.15912,1,20203304004,4,3,1,2,22,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,**CONFIDENTIAL**,1005-001,1,1,**CONFIDENTIAL**,**CONFIDENTIAL**,1,9,9,10,2021-09-14T10:08:28,2021-09-15T12:48:44,1600,1,1,1,1,1
66-03-93-27,1006,1006-001-01,02-02-033-04-004,1714.21135,1555.622203,1,20203304004,4,3,1,2,22,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,**CONFIDENTIAL**,1006-001,1,1,**CONFIDENTIAL**,**CONFIDENTIAL**,1,9,9,10,2021-09-14T10:35:36,2021-09-14T21:48:17,672,1,2,1,1,1
71-71-16-36,1006,1006-001-03,02-02-033-04-004,3029.255911,2938.594763,1,20203304004,4,3,1,2,23,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,**CONFIDENTIAL**,1006-001,2,4,**CONFIDENTIAL**,,,9,9,10,2021-09-15T10:53:26,2021-09-16T18:45:29,1912,,,1,2,1
93-03-21-31,1006,1006-001-04,02-02-033-04-004,2477.558295,2214.314512,1,20203304004,4,3,1,2,22,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,**CONFIDENTIAL**,1006-001,2,4,**CONFIDENTIAL**,,,9,9,10,2021-09-15T11:21:08,2021-09-20T12:47:28,7286,,1,1,2,1
64-95-83-64,1006,1006-001-05,02-02-033-04-004,3019.477,3059.242196,1,20203304004,4,3,1,2,22,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,**CONFIDENTIAL**,1006-001,2,4,**CONFIDENTIAL**,,,9,9,10,2021-09-18T10:21:35,2021-09-18T12:20:50,119,,,1,2,1
54-26-09-51,1007,1007-001-01,02-02-033-04-004,7003.341768,6856.41841,1,20203304004,4,3,1,2,22,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,**CONFIDENTIAL**,1007-001,1,1,**CONFIDENTIAL**,**CONFIDENTIAL**,1,9,9,10,2021-09-15T10:33:56,2021-09-15T14:49:51,255,1,2,1,2,1
91-42-46-84,1009,1009-001-01,02-02-033-04-004,3752.092595,3629.854611,1,20203304004,4,3,1,2,22,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,**CONFIDENTIAL**,1009-001,1,1,**CONFIDENTIAL**,**CONFIDENTIAL**,1,9,9,10,2021-09-14T10:06:53,2021-09-17T10:29:49,4342,1,1,2,2,1
34-08-29-97,1019,1019-001-01,02-02-103-03-304,2563.469132,9789.77917,2,20210303304,3,2,1,2,22,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,**CONFIDENTIAL**,1019-001,1,1,**CONFIDENTIAL**,**CONFIDENTIAL**,1,1,12,1,2020-12-22T14:40:08,2020-12-27T22:25:58,7665,1,,1,1,1
25-94-08-50,1020,1020-001-01,02-02-103-03-304,1308.952898,6216.180997,2,20210303304,3,2,1,2,22,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,**CONFIDENTIAL**,1020-001,1,1,**CONFIDENTIAL**,**CONFIDENTIAL**,2,1,12,1,2020-12-22T13:51:44,2020-12-22T16:57:29,185,1,,1,2,1
42-43-09-21,1021,1021-001-01,02-02-103-03-304,1517.404072,7292.437285,2,20210303304,3,2,1,2,22,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,**CONFIDENTIAL**,1021-001,1,1,**CONFIDENTIAL**,**CONFIDENTIAL**,1,1,12,1,2020-12-22T19:31:59,2020-12-23T14:57:21,1165,1,,1,1,1
88-63-59-87,1022,1022-001-01,02-02-103-03-304,2721.497527,9789.77917,2,20210303304,3,2,2,2,22,103,**CONFIDENTIAL**,3,**CONFIDENTIAL**,304,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,1022-001,1,1,**CONFIDENTIAL**,**CONFIDENTIAL**,1,1,12,1,2020-12-22T14:58:48,2020-12-23T08:56:02,1077,1,,1,1,1
67-34-56-15,1023,1023-001-01,02-02-103-03-304,1741.568402,8100.176392,2,20210303304,3,2,1,2,22,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,**CONFIDENTIAL**,1023-001,1,1,**CONFIDENTIAL**,**CONFIDENTIAL**,1,1,12,1,2020-12-23T09:20:19,2020-12-23T12:05:43,165,1,,1,1,1
61-09-84-51,1024,1024-001-01,02-02-103-03-304,1423.315261,7133.608517,2,20210303304,3,2,1,17,175,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,**CONFIDENTIAL**,1024-001,1,4,**CONFIDENTIAL**,,,2,2,3,2021-02-18T09:55:10,2021-02-19T11:03:19,1508,,,1,2,1
49-38-79-42,1025,1025-001-02,02-02-103-03-304,1828.553231,8560.354482,2,20210303304,3,2,2,2,22,103,**CONFIDENTIAL**,3,**CONFIDENTIAL**,0,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,1025-001,1,1,**CONFIDENTIAL**,**CONFIDENTIAL**,2,1,12,1,2020-12-22T15:14:19,2020-12-24T08:06:52,2452,2,1,2,2,1
36-53-30-05,1038,1038-001-02,02-03-182-04-003,1001.097497,4957.535402,2,20318204003,3,2,2,2,23,0,**CONFIDENTIAL**,0,**CONFIDENTIAL**,0,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,1038-001,2,1,**CONFIDENTIAL**,**CONFIDENTIAL**,2,10,10,11,2021-10-28T18:10:43,2021-10-28T19:44:53,94,2,2,1,1,1
06-31-99-33,1039,1039-001-01,02-03-182-04-003,443.2412957,2137.044346,2,20318204003,3,2,1,2,23,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,**CONFIDENTIAL**,1039-001,1,1,**CONFIDENTIAL**,**CONFIDENTIAL**,1,10,10,11,2021-10-28T17:37:32,2021-11-05T19:24:58,11627,1,,2,2,1
98-68-74-00,1041,1041-001-01,02-03-182-04-003,794.750599,3904.998165,2,20318204003,3,2,1,2,23,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,**CONFIDENTIAL**,1041-001,1,1,**CONFIDENTIAL**,**CONFIDENTIAL**,1,10,10,11,2021-10-27T09:47:18,2021-10-27T11:35:07,107,1,2,1,1,1
86-53-32-92,1042,1042-001-01,02-03-182-04-003,905.5094055,4522.178723,2,20318204003,3,2,1,2,23,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,**CONFIDENTIAL**,1042-001,1,1,**CONFIDENTIAL**,**CONFIDENTIAL**,1,10,10,11,2021-10-27T10:03:41,2021-10-27T12:28:56,145,1,1,1,1,1
59-59-99-49,1042,1042-001-02,02-03-182-04-003,795.279276,4054.076542,2,20318204003,3,2,1,2,23,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,**CONFIDENTIAL**,1042-001,2,4,**CONFIDENTIAL**,,,10,10,11,2021-10-28T11:59:58,2021-10-30T12:41:24,2921,,,1,2,1
68-38-43-94,1043,1043-001-01,02-03-182-04-003,1392.949978,6513.050232,2,20318204003,3,2,1,2,23,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,**CONFIDENTIAL**,1043-001,1,1,**CONFIDENTIAL**,**CONFIDENTIAL**,1,10,10,11,2021-10-27T09:52:20,2021-10-28T10:55:38,1503,1,2,1,1,1
51-52-11-49,1044,1044-001-01,02-03-182-04-003,456.2676718,2428.074051,2,20318204003,3,2,2,2,23,182,**CONFIDENTIAL**,4,**CONFIDENTIAL**,3,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,1044-001,1,1,**CONFIDENTIAL**,**CONFIDENTIAL**,1,10,10,11,2021-10-27T09:49:49,2021-10-27T16:33:47,403,1,1,1,1,1
36-76-76-33,1045,1045-001-01,02-03-182-04-003,586.0210946,2621.370131,2,20318204003,3,2,1,2,23,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,**CONFIDENTIAL**,1045-001,1,1,**CONFIDENTIAL**,**CONFIDENTIAL**,1,10,10,11,2021-10-28T14:44:35,2021-10-28T15:06:31,21,1,,1,2,1
