"interview__key","y5_hhid","itemcode","hh_ja01","hh_ja02_1","hh_ja02_2","hh_ja02a_1","hh_ja02b_1","hh_ja02b_2","hh_ja03_1","hh_ja03_2","hh_ja04","hh_ja05_1","hh_ja05_2","hh_ja06_1","hh_ja06_2","hh_ja07","hh_ja08_1","hh_ja08_2","hh_ja08_9","hh_ja09_1","hh_ja09_2"
"39-26-37-98","1000-001-01",101,2,,,,,,,,,,,,,,,,,,
"39-26-37-98","1000-001-01",102,2,,,,,,,,,,,,,,,,,,
"39-26-37-98","1000-001-01",103,2,,,,,,,,,,,,,,,,,,
"39-26-37-98","1000-001-01",104,1,1,4.5,,,,,0,,1,4.5,,0,,,,,,
"39-26-37-98","1000-001-01",105,1,1,4,,,,,0,,1,4,,0,,,,,,
"39-26-37-98","1000-001-01",106,2,,,,,,,,,,,,,,,,,,
"39-26-37-98","1000-001-01",107,2,,,,,,,,,,,,,,,,,,
"39-26-37-98","1000-001-01",109,2,,,,,,,,,,,,,,,,,,
"39-26-37-98","1000-001-01",111,2,,,,,,,,,,,,,,,,,,
"39-26-37-98","1000-001-01",112,2,,,,,,,,,,,,,,,,,,
"39-26-37-98","1000-001-01",201,2,,,,,,,,,,,,,,,,,,
"39-26-37-98","1000-001-01",202,2,,,,,,,,,,,,,,,,,,
"39-26-37-98","1000-001-01",203,2,,,,,,,,,,,,,,,,,,
"39-26-37-98","1000-001-01",204,2,,,,,,,,,,,,,,,,,,
"39-26-37-98","1000-001-01",205,1,20,1,,1,4,20,1,2000,,0,,0,2,1,0,0,,
"39-26-37-98","1000-001-01",206,2,,,,,,,,,,,,,,,,,,
"39-26-37-98","1000-001-01",207,2,,,,,,,,,,,,,,,,,,
"39-26-37-98","1000-001-01",301,1,2,500,,,,2,500,1350,,0,,0,,,,,,
"39-26-37-98","1000-001-01",302,2,,,,,,,,,,,,,,,,,,
"39-26-37-98","1000-001-01",303,2,,,,,,,,,,,,,,,,,,
"39-26-37-98","1000-001-01",501,2,,,,,,,,,,,,,,,,,,
"39-26-37-98","1000-001-01",502,2,,,,,,,,,,,,,,,,,,
"39-26-37-98","1000-001-01",503,2,,,,,,,,,,,,,,,,,,
"39-26-37-98","1000-001-01",504,2,,,,,,,,,,,,,,,,,,
"39-26-37-98","1000-001-01",603,2,,,,,,,,,,,,,,,,,,
"39-26-37-98","1000-001-01",701,2,,,,,,,,,,,,,,,,,,
"39-26-37-98","1000-001-01",704,2,,,,,,,,,,,,,,,,,,
"39-26-37-98","1000-001-01",801,2,,,,,,,,,,,,,,,,,,
"39-26-37-98","1000-001-01",802,2,,,,,,,,,,,,,,,,,,
"39-26-37-98","1000-001-01",803,2,,,,,,,,,,,,,,,,,,
"39-26-37-98","1000-001-01",805,2,,,,,,,,,,,,,,,,,,
"39-26-37-98","1000-001-01",806,2,,,,,,,,,,,,,,,,,,
"39-26-37-98","1000-001-01",807,2,,,,,,,,,,,,,,,,,,
"39-26-37-98","1000-001-01",809,1,2,150,,,,2,150,1000,,0,,0,,,,,,
"39-26-37-98","1000-001-01",810,2,,,,,,,,,,,,,,,,,,
"39-26-37-98","1000-001-01",901,2,,,,,,,,,,,,,,,,,,
"39-26-37-98","1000-001-01",902,2,,,,,,,,,,,,,,,,,,
"39-26-37-98","1000-001-01",903,2,,,,,,,,,,,,,,,,,,
"39-26-37-98","1000-001-01",1001,1,4,500,,,,4,500,2000,,0,,0,,,,,,
"39-26-37-98","1000-001-01",1002,2,,,,,,,,,,,,,,,,,,
"39-26-37-98","1000-001-01",1003,1,2,150,,,,2,150,150,,0,,0,,,,,,
"39-26-37-98","1000-001-01",1004,2,,,,,,,,,,,,,,,,,,
"39-26-37-98","1000-001-01",1081,2,,,,,,,,,,,,,,,,,,
"39-26-37-98","1000-001-01",1082,2,,,,,,,,,,,,,,,,,,
"39-26-37-98","1000-001-01",1101,1,2,25,,,,2,25,250,,0,,0,,,,,,
"39-26-37-98","1000-001-01",1102,2,,,,,,,,,,,,,,,,,,
"39-26-37-98","1000-001-01",1103,2,,,,,,,,,,,,,,,,,,
"39-26-37-98","1000-001-01",1104,2,,,,,,,,,,,,,,,,,,
"39-26-37-98","1000-001-01",1105,2,,,,,,,,,,,,,,,,,,
"39-26-37-98","1000-001-01",1106,2,,,,,,,,,,,,,,,,,,
"39-26-37-98","1000-001-01",1107,2,,,,,,,,,,,,,,,,,,
"39-26-37-98","1000-001-01",1108,2,,,,,,,,,,,,,,,,,,
"39-26-37-98","1000-001-01",4011,1,1,1,,,,,0,,1,1,,0,,,,,,
"39-26-37-98","1000-001-01",4012,2,,,,,,,,,,,,,,,,,,
"39-26-37-98","1000-001-01",4013,1,1,1.5,,,,1,1.5,3000,,0,,0,,,,,,
"39-26-37-98","1000-001-01",6011,1,6,1,2,2,250,6,1,500,,0,,0,2,1,0,0,,
"39-26-37-98","1000-001-01",6012,1,6,1,2,2,500,6,1,500,,0,,0,2,1,0,0,,
"39-26-37-98","1000-001-01",6013,2,,,,,,,,,,,,,,,,,,
"39-26-37-98","1000-001-01",6021,2,,,,,,,,,,,,,,,,,,
"39-26-37-98","1000-001-01",6022,2,,,,,,,,,,,,,,,,,,
"39-26-37-98","1000-001-01",6023,1,6,1,,2,1200,6,1,500,,0,,0,,,,,,
"39-26-37-98","1000-001-01",7021,2,,,,,,,,,,,,,,,,,,
"39-26-37-98","1000-001-01",7022,2,,,,,,,,,,,,,,,,,,
"39-26-37-98","1000-001-01",7023,2,,,,,,,,,,,,,,,,,,
"39-26-37-98","1000-001-01",7031,2,,,,,,,,,,,,,,,,,,
"39-26-37-98","1000-001-01",7032,2,,,,,,,,,,,,,,,,,,
"39-26-37-98","1000-001-01",7033,2,,,,,,,,,,,,,,,,,,
"39-26-37-98","1000-001-01",8041,2,,,,,,,,,,,,,,,,,,
"39-26-37-98","1000-001-01",8042,2,,,,,,,,,,,,,,,,,,
"39-26-37-98","1000-001-01",8081,2,,,,,,,,,,,,,,,,,,
"39-26-37-98","1000-001-01",8082,2,,,,,,,,,,,,,,,,,,
"39-26-37-98","1000-001-01",8083,2,,,,,,,,,,,,,,,,,,
"39-26-37-98","1000-001-01",8084,2,,,,,,,,,,,,,,,,,,
"39-26-37-98","1000-001-01",11011,2,,,,,,,,,,,,,,,,,,
"39-26-37-98","1000-001-01",11021,2,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",101,2,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",102,2,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",103,2,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",104,2,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",105,1,1,4,,,,,0,,,0,1,4,,,,,,
"04-06-65-04","1000-001-02",106,2,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",107,2,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",109,2,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",111,2,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",112,2,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",201,2,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",202,2,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",203,2,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",204,2,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",205,1,1,4,,,,1,4,2000,,0,,0,,,,,,
"04-06-65-04","1000-001-02",206,2,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",207,2,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",301,2,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",302,2,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",303,2,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",501,2,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",502,2,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",503,2,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",504,2,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",603,2,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",701,2,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",704,2,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",801,2,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",802,2,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",803,2,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",805,2,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",806,2,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",807,2,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",809,2,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",810,2,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",901,1,4,500,,,,4,500,600,,0,,0,,,,,,
"04-06-65-04","1000-001-02",902,1,3,1,,,,4,1,1200,,0,,0,,,,,,
"04-06-65-04","1000-001-02",903,2,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",1001,2,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",1002,2,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",1003,1,2,40,,,,2,40,40,,0,,0,,,,,,
"04-06-65-04","1000-001-02",1004,2,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",1081,2,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",1082,2,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",1101,2,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",1102,2,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",1103,2,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",1104,2,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",1105,2,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",1106,2,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",1107,2,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",1108,2,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",4011,2,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",4012,2,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",4013,2,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",6011,1,2,273,,,,2,273,200,,0,,0,,,,,,
"04-06-65-04","1000-001-02",6012,1,2,749,,,,2,749,500,,0,,0,,,,,,
"04-06-65-04","1000-001-02",6013,2,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",6021,2,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",6022,2,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",6023,2,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",7021,2,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",7022,2,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",7023,2,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",7031,2,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",7032,2,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",7033,2,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",8041,2,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",8042,2,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",8081,2,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",8082,2,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",8083,2,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",8084,2,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",11011,2,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",11021,2,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",101,2,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",102,1,1,2,,,,1,2,2000,,0,,0,,,,,,
"97-90-78-65","1000-001-03",103,2,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",104,2,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",105,1,1,4,,,,1,4,2500,,0,,0,,,,,,
"97-90-78-65","1000-001-03",106,2,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",107,2,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",109,2,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",111,2,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",112,2,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",201,2,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",202,2,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",203,2,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",204,2,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",205,1,1,3,,,,1,3,3000,,0,,0,,,,,,
"97-90-78-65","1000-001-03",206,2,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",207,2,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",301,1,1,1,,,,1,1,2800,,0,,0,,,,,,
"97-90-78-65","1000-001-03",302,2,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",303,2,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",501,2,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",502,2,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",503,2,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",504,2,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",603,2,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",701,2,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",704,2,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",801,1,1,1,,,,1,1,5000,,0,,0,,,,,,
"97-90-78-65","1000-001-03",802,2,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",803,1,2,500,,,,2,500,3500,,0,,0,,,,,,
"97-90-78-65","1000-001-03",805,2,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",806,2,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",807,2,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",809,2,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",810,2,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",901,1,3,4,,,,3,4,4000,,0,,0,,,,,,
"97-90-78-65","1000-001-03",902,2,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",903,2,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",1001,1,3,1,,,,3,1,5000,,0,,0,,,,,,
"97-90-78-65","1000-001-03",1002,2,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",1003,1,2,250,,,,2,250,250,,0,,0,,,,,,
"97-90-78-65","1000-001-03",1004,2,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",1081,2,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",1082,2,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",1101,2,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",1102,2,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",1103,2,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",1104,2,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",1105,2,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",1106,2,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",1107,2,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",1108,2,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",4011,2,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",4012,2,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",4013,1,1,3,,,,1,3,6000,,0,,0,,,,,,
"97-90-78-65","1000-001-03",6011,1,5,2,3,2,250,2,250,1000,,0,,0,1,,,,2,600
"97-90-78-65","1000-001-03",6012,1,6,3,2,2,500,6,3,1500,,0,,0,1,,,,2,1500
"97-90-78-65","1000-001-03",6013,1,5,10,,1,1,1,1,1000,,0,,0,,,,,,
"97-90-78-65","1000-001-03",6021,2,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",6022,2,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",6023,1,6,35,,2,4050,2,4050,3500,,0,,0,,,,,,
