"interview__key","y5_hhid","lvstckid","lf02_01","lf02_02","lf02_03","lf02_04_1","lf02_04_2","lf02_05","lf02_06","lf02_07","lf02_08","lf02_09","lf02_10","lf02_11","lf02_12","lf02_13","lf02_14","lf02_15","lf02_16","lf02_17","lf02_18","lf02_19","lf02_20","lf02_21","lf02_22","lf02_23","lf02_24","lf02_25","lf02_26","lf02_27_1","lf02_27_2","lf02_28a","lf02_28b","lf02_29","lf02_30","lf02_31","lf02_32","lf02_33","lf02_34a","lf02_34b","lf02_35_1","lf02_35_2"
"39-26-37-98","1000-001-01",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"39-26-37-98","1000-001-01",2,1,1,2,1,0,,2,,,2,,,2,,,2,,,2,,,2,,,1,1,500000,1,3,5,1,2,,,,,,,,
"39-26-37-98","1000-001-01",3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"39-26-37-98","1000-001-01",4,1,0,2,2,0,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
"39-26-37-98","1000-001-01",5,1,0,0,1,0,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
"39-26-37-98","1000-001-01",6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"39-26-37-98","1000-001-01",7,1,30,50,47,0,7,2,,,2,,,2,,,2,,,2,,,1,10,400000,1,3,150000,1,,5,1,2,,,,,,,,
"39-26-37-98","1000-001-01",8,1,5,11,13,0,6,2,,,2,,,1,1,1,2,,,1,2,100000,2,,,1,1,50000,1,,5,1,2,,,,,,,,
"39-26-37-98","1000-001-01",9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"39-26-37-98","1000-001-01",10,1,20,0,22,0,28,1,3,21000,1,1,1,2,,,2,,,2,,,1,10,30000,2,,,,,,,2,,,,,,,,
"39-26-37-98","1000-001-01",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"39-26-37-98","1000-001-01",12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"39-26-37-98","1000-001-01",13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"39-26-37-98","1000-001-01",14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"39-26-37-98","1000-001-01",15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"39-26-37-98","1000-001-01",16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"39-26-37-98","1000-001-01",17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"04-06-65-04","1000-001-02",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"69-87-77-12","1000-001-06",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"69-87-77-12","1000-001-06",2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"69-87-77-12","1000-001-06",3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"69-87-77-12","1000-001-06",4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"69-87-77-12","1000-001-06",5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
